name,latitude,longitude,bus,tram,strain,train,other
Longericher Str./Etzelstr.,50.978231,6.928625,140,,,,
Lucasstr.,50.865686,7.106602,160,,,,
Ludwig-Quidde-Platz,50.931433,7.05566,157;179,,,,TaxiBus 187
Ludwigsburger Str.,50.965673,6.94014,127,,,,
Lübecker Str.,50.933609,6.83324,173,,,,
Lüderichstr.,50.928161,7.0023,153,,,,
Maarhäuser Weg,50.909554,7.070762,151;154,,,,
Maarweg,50.937177,6.899365,172;173,1,,,
Mannesmannstr.,50.868778,6.991279,135,,,,
Mannsfeld,50.910533,6.962604,132;133,,,,
Marconistr.,51.033964,6.928481,121,,,,
Marconistr. Ost,51.035681,6.929272,121,,,,
Margaretastr.,50.968235,6.905504,,5,,,
Margaretenstr.,50.839249,7.073027,163,,,,
Maria-Himmelfahrt-Str.,50.967903,7.04526,,3;18,,,
Marienberger Weg,51.000003,6.892785,121;125;127,,,,
Marienburg Südpark,50.898245,6.97598,106,,,,
Marienburger Str.,50.901221,6.97367,106,,,,
Marienplatz,50.884887,7.08021,162,,,,
Marienstr.,50.958419,6.908309,141;143,,,,
Marktplatz Sürth,50.862198,7.007406,131;134,,,,
Marktstraße,50.912053,6.962127,132;133,,,,
Marsdorf,50.917473,6.85823,,7,,,
Maternusplatz,50.892744,6.993689,131;134;135,,,,
Mathias-Brüggen-Str.,50.982923,6.885054,139,,,,
Mauritiuskirche,50.934175,6.945066,,9;E,,,
Mechternstr.,50.942589,6.918719,142,,,,
Meerfeldstr.,50.99505,6.920777,,15,,,
